latitude,longitude,altitude_ft
51.5986,0.097,12998.68808
51.5974,0.0975,12998.68808
51.5964,0.0979,12998.68808
51.5952,0.0984,12998.68808
51.5938,0.0992,12998.68808
51.5912,0.1007,12998.68808
51.5901,0.1015,12998.68808
51.5889,0.1025,12998.68808
51.5877,0.1035,12998.68808
51.5867,0.1044,12998.68808
51.5857,0.1054,12998.68808
51.5846,0.1067,12998.68808
51.5836,0.1078,12998.68808
51.5827,0.1088,12998.68808
51.5816,0.1102,12998.68808
51.5807,0.1114,12998.68808
51.5798,0.1128,12998.68808
51.5789,0.1141,12998.68808
51.5781,0.1156,12998.68808
51.5772,0.1171,12998.68808
51.5764,0.1186,12998.68808
51.5756,0.1203,12998.68808
51.5748,0.122,12998.68808
51.5742,0.1234,12998.68808
51.5735,0.1253,12998.68808
51.5727,0.1272,12998.68808
51.5722,0.1288,12998.68808
51.5716,0.1305,12998.68808
51.5711,0.1322,12998.68808
51.5706,0.134,12998.68808
51.5702,0.1358,12998.68808
51.5697,0.1377,12998.68808
51.5693,0.1396,12998.68808
51.569,0.1414,12998.68808
51.5687,0.1434,12998.68808
51.5684,0.1453,12998.68808
51.5681,0.1472,12998.68808
51.5679,0.1492,12998.68808
51.5678,0.1511,12998.68808
51.5676,0.1529,12998.68808
51.5675,0.155,12998.68808
51.5674,0.1571,12998.68808
51.5674,0.1589,12998.68808
51.5675,0.1608,12998.68808
51.5675,0.1627,12998.68808
51.5677,0.1682,12998.68808
51.5697,0.1956,11998.03188
51.576,0.2835,11998.03188
51.5764,0.2872,11998.03188
51.5767,0.2891,11998.03188
51.5769,0.2911,11998.03188
51.5772,0.2928,11998.03188
51.5775,0.2945,11998.03188
51.5779,0.2965,11998.03188
51.5783,0.2983,11998.03188
51.5787,0.3001,11998.03188
51.5792,0.302,11998.03188
51.5794,0.3029,11998.03188
51.58,0.3049,11998.03188
51.5805,0.3065,11998.03188
51.581,0.3081,11998.03188
51.5816,0.3098,11998.03188
51.5822,0.3116,11998.03188
51.5829,0.3133,11998.03188
51.5835,0.3149,11998.03188
51.5842,0.3165,11998.03188
51.5849,0.3178,11998.03188
51.5855,0.3191,11998.03188
51.5863,0.3206,11998.03188
51.5869,0.3218,11998.03188
51.5874,0.3225,11998.03188
51.5886,0.3246,11998.03188
51.5896,0.3259,11998.03188
51.5905,0.3272,11998.03188
51.5913,0.3284,10997.37568
51.5918,0.329,10997.37568
51.5924,0.3297,10997.37568
51.5938,0.3312,10997.37568
51.5948,0.3323,10997.37568
51.5958,0.3333,10997.37568
51.5968,0.3342,10997.37568
51.5978,0.3351,10997.37568
51.5988,0.3359,10997.37568
51.5998,0.3366,10997.37568
51.6008,0.3373,10997.37568
51.6019,0.338,10997.37568
51.6028,0.3385,10997.37568
51.604,0.3392,10997.37568
51.605,0.3396,10997.37568
51.6061,0.3401,10997.37568
51.607,0.3404,10997.37568
51.608,0.3408,10997.37568
51.6092,0.3412,10997.37568
51.6103,0.3414,10997.37568
51.6114,0.3416,10997.37568
51.6126,0.3418,10997.37568
51.6137,0.3419,10997.37568
51.6159,0.342,10997.37568
51.617,0.342,10997.37568
51.618,0.3419,10997.37568
51.6195,0.3417,10997.37568
51.6202,0.3416,10997.37568
51.6215,0.3413,10997.37568
51.6226,0.341,10997.37568
51.6236,0.3407,10997.37568
51.6248,0.3403,10997.37568
51.6258,0.3399,10997.37568
51.6269,0.3394,10997.37568
51.6281,0.3389,10997.37568
51.6286,0.3385,10997.37568
51.6298,0.3378,10997.37568
51.6312,0.3369,10997.37568
